cruise,Cruise ID,Project,R2R doi,Location,Year,Month,Day Of Year,Instrument,Ship,Operator,Beads,Metadata,Filtration,Gating,Curation,Zenodo,File size (Gb),References,Comments
CMOP_1,W0903A,CMOP,10.7284/900616,Columbia River,2009,May,,740,R/V Wecoma,Swalwell - Ribalet,"
",,,,,,,,"this has no sds.tab file, will need to get data"
Thompson_0,TN243,H2O,10.7284/904001,Puget Sound,2009,November,,740,R/V R/V Thompson,Swalwell - Ribalet,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,Ribalet et al. 2011,
CMOP_3,W1005A,CMOP,10.7284/904064,Columbia River,2010,May,141 - 147,740,R/V Wecoma,Ribalet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,LAT/LON missing for nearly 400 points; no PAR; > 30 files in SFL not in EVT dir
Thompson_1,TN248,-,10.7284/904006,Gulf of Alaska,2010,May,,740,R/V Thompson,Swalwell,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.4,Pavlesky et al. 2013; Hyrkas et al. 2016,NO DATA IN R2R FOR THIS CRUISE; some lat missing; no PAR available
Thompson_2,TN250,-,10.7284/904008,Bering Sea,2010,June,,740,R/V Thompson,OTG,,,,,,,,,bad seaflow data
CMOP_4,CMOP_4,CMOP,,Columbia River,2010,July,211,740,SATURN-03,,,,,,,,,,Pilot project to test instrument
Thompson_3,TN252,-,10.7284/904069,OR-WA coast,2010,July,,740,R/V Thompson,OTG,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
Thompson_4,TN257,-,10.7284/904013,Seattle - Hawaii,2010,November,,740,R/V Thompson,Ribalet - Swalwell,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,Ribalet et al. 2015,D2 PMT too low; Large Qc and diameter
Thompson_5,TN260,-,10.7284/102414,Hawaii,2011,January,,740,R/V Thompson,OTG,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,Swalwell et al. 2011,2 FSC settings; Large Qc and diameter
Thompson_6,TN264,-,10.7284/904018,OR-WA coast,2011,May,,740,R/V Thompson,OTG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Thompson_6b,TN265,-,10.7284/904019,OR-WA coast,2011,June,,740,R/V Thompson,OTG,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,troncated D1 and D2
